WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
2,HBO,4,-1,High,-1,TakeAndWait,Skip,Skip,ReturnHome,Skip,Home,10021406,Urban,Skip,-1,80K-100K,13,3,5,-1
2,HBO,4,-1,High,-1,Home,Skip,Skip,Family,Skip,PTA,10021406,Urban,Skip,-1,80K-100K,13,3,5,-1
2,HBO,4,-1,High,-1,PTA,Skip,Skip,ReturnHome,Skip,Home,10021406,Urban,Skip,-1,80K-100K,13,3,5,-1
2,HBO,4,-1,High,-1,Home,Skip,Skip,School,Skip,GoSchoolAsStudent,10021406,Urban,Skip,-1,80K-100K,8,4,3,-1
2,NHB,4,-1,High,-1,GoSchoolAsStudent,Skip,Skip,SocialRecreation,Skip,HangOut,10021406,Urban,Skip,-1,80K-100K,8,4,3,-1
2,HBSOCREC,4,-1,High,-1,HangOut,Skip,Skip,ReturnHome,Skip,Home,10021406,Urban,Skip,-1,80K-100K,8,4,3,-1
1,HBW,2,4,High,45,Home,Skip,SeveralWeek,ToWork,Car,GoToWork,10022047,Rural,Yes,0,65K-70K,60,1,2,25
1,HBW,2,4,High,45,GoToWork,Skip,SeveralWeek,ReturnHome,Car,Home,10022047,Rural,Yes,0,65K-70K,60,1,2,25
1,HBO,2,0,High,-1,Home,Skip,SeveralWeek,ServePassenger,Skip,DropSomeoneOff,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,NHB,2,0,High,-1,DropSomeoneOff,Skip,SeveralWeek,Family,Skip,BuyService,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,NHB,2,0,High,-1,BuyService,Skip,SeveralWeek,Shopping,Skip,BuyGoods,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,NHB,2,0,High,-1,BuyGoods,Skip,SeveralWeek,Shopping,Skip,BuyGoods,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,NHB,2,0,High,-1,BuyGoods,Skip,SeveralWeek,Family,Skip,BuyService,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,HBSHOP,2,0,High,-1,BuyService,Skip,SeveralWeek,ReturnHome,Skip,Home,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,HBSHOP,2,0,High,-1,Home,Skip,SeveralWeek,Shopping,Skip,BuyGoods,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,NHB,2,0,High,-1,BuyGoods,Skip,SeveralWeek,ServePassenger,Skip,PickUpSomeone,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
1,HBO,2,0,High,-1,PickUpSomeone,Skip,SeveralWeek,ReturnHome,Skip,Home,10022047,Rural,Yes,0,65K-70K,63,2,9,-1
0,HBSOCREC,1,1,High,-1,Home,Skip,Skip,SocialRecreation,Skip,VisitFriends,10031197,Urban,Yes,0,50K-55K,56,1,2,-1
0,HBSOCREC,1,1,High,-1,VisitFriends,Skip,Skip,ReturnHome,Skip,Home,10031197,Urban,Yes,0,50K-55K,56,1,2,-1
1,HBSHOP,2,5,High,-1,Home,Skip,AlmostEveryday,Shopping,Skip,BuyGoods,10035289,Urban,Yes,0,80K-100K,52,1,4,-1
1,HBSHOP,2,5,High,-1,BuyGoods,Skip,AlmostEveryday,ReturnHome,Skip,Home,10035289,Urban,Yes,0,80K-100K,52,1,4,-1
1,HBSOCREC,2,5,High,-1,Home,Skip,AlmostEveryday,SocialRecreation,Skip,GoToGym,10035289,Urban,Yes,0,80K-100K,52,1,4,-1
1,HBSOCREC,2,5,High,-1,GoToGym,Skip,AlmostEveryday,ReturnHome,Skip,Home,10035289,Urban,Yes,0,80K-100K,52,1,4,-1
1,HBW,2,0,High,50,Home,FewYear,AlmostEveryday,ToWork,SUV,GoToWork,10035289,Urban,Yes,0,80K-100K,54,2,4,18
1,NHB,2,0,High,50,GoToWork,FewYear,AlmostEveryday,WorkRelated,SUV,OtherWorkRelated,10035289,Urban,Yes,0,80K-100K,54,2,4,18
1,NHB,2,0,High,50,OtherWorkRelated,FewYear,AlmostEveryday,Shopping,SUV,BuyGoods,10035289,Urban,Yes,0,80K-100K,54,2,4,18
1,HBSHOP,2,0,High,50,BuyGoods,FewYear,AlmostEveryday,ReturnHome,SUV,Home,10035289,Urban,Yes,0,80K-100K,54,2,4,18
1,HBO,3,-9,NotAscertained,-9,Home,Skip,NotAscertained,ServePassenger,NotAscertained,DropSomeoneOff,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
