WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
0,NHB,1,6,ExtremelyLow,-1,BuyService,Skip,1,Daily,SchoolOrReligious,Skip,Religious,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,Religious,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,VisitFriends,Skip,1,Daily,Other,Skip,Volunteer,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,Volunteer,Skip,1,Daily,Shopping,Skip,BuyGoods,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,HBSHOP,1,6,ExtremelyLow,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,HBSHOP,2,0,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,BuyGoods,Skip,1,Daily,SchoolOrReligious,Skip,Religious,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,Religious,Skip,1,Daily,Medical,Skip,MedicalService,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,MedicalService,Skip,1,Daily,Shopping,Skip,BuyGoods,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,NHB,2,0,High,-1,BuyGoods,Skip,1,Daily,Meals,Skip,BuyMeals,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,HBSHOP,2,0,High,-1,BuyMeals,Skip,1,Daily,Home,Skip,Home,30008783,Rural,Yes,0,75K-100K,65,1,8,-9.0
0,HBO,2,0,High,-1,Home,Skip,1,Daily,Medical,Skip,MedicalService,30008783,Rural,Yes,0,75K-100K,64,2,5,-9.0
0,NHB,2,0,High,-1,MedicalService,Skip,1,Daily,Shopping,Skip,BuyGoods,30008783,Rural,Yes,0,75K-100K,64,2,5,-9.0
0,HBSHOP,2,0,High,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30008783,Rural,Yes,0,75K-100K,64,2,5,-9.0
0,HBO,2,0,High,-1,Home,Skip,1,Daily,Other,Skip,Volunteer,30008783,Rural,Yes,0,75K-100K,64,2,5,-9.0
0,HBO,2,0,High,-1,Volunteer,Skip,1,Daily,Home,Skip,Home,30008783,Rural,Yes,0,75K-100K,64,2,5,-9.0
1,HBW,1,4,Low,17,Home,OnceMonthMore,1,Daily,WorkRelated,Car,Work,30009843,Urban,Yes,0,35K-50K,23,1,3,2596.27
1,NHB,1,4,Low,17,Work,OnceMonthMore,1,Daily,Shopping,Car,BuyGoods,30009843,Urban,Yes,0,35K-50K,23,1,3,2596.27
1,HBSHOP,1,4,Low,17,BuyGoods,OnceMonthMore,1,Daily,Home,Car,Home,30009843,Urban,Yes,0,35K-50K,23,1,3,2596.27
0,HBSHOP,1,0,ExtremelyLow,-1,Home,Skip,5,Never,Shopping,Skip,BuyService,30010005,Urban,No,0,10K-15K,65,1,2,-9.0
0,HBSHOP,1,0,ExtremelyLow,-1,BuyService,Skip,5,Never,Home,Skip,Home,30010005,Urban,No,0,10K-15K,65,1,2,-9.0
0,HBSHOP,2,0,Low,-1,Home,Skip,1,Daily,Meals,Skip,BuyMeals,30011070,Urban,Yes,0,35K-50K,71,1,4,-9.0
0,NHB,2,0,Low,-1,BuyMeals,Skip,1,Daily,Shopping,Skip,BuyService,30011070,Urban,Yes,0,35K-50K,71,1,4,-9.0
0,NHB,2,0,Low,-1,BuyService,Skip,1,Daily,Shopping,Skip,Errands,30011070,Urban,Yes,0,35K-50K,71,1,4,-9.0
0,HBO,2,0,Low,-1,Errands,Skip,1,Daily,Home,Skip,Home,30011070,Urban,Yes,0,35K-50K,71,1,4,-9.0
0,HBSHOP,2,0,Low,-1,Home,Skip,1,Daily,Meals,Skip,BuyMeals,30011070,Urban,Yes,0,35K-50K,70,2,4,-9.0
0,NHB,2,0,Low,-1,BuyMeals,Skip,1,Daily,Shopping,Skip,BuyService,30011070,Urban,Yes,0,35K-50K,70,2,4,-9.0
0,NHB,2,0,Low,-1,BuyService,Skip,1,Daily,Shopping,Skip,Errands,30011070,Urban,Yes,0,35K-50K,70,2,4,-9.0
0,HBO,2,0,Low,-1,Errands,Skip,1,Daily,Home,Skip,Home,30011070,Urban,Yes,0,35K-50K,70,2,4,-9.0
2,HBW,2,2,VeryLow,10,Home,Skip,1,Daily,WorkRelated,Car,Work,30014360,Urban,Yes,2,15K-25K,48,1,2,5.33
2,HBW,2,2,VeryLow,10,Work,Skip,1,Daily,Home,Car,Home,30014360,Urban,Yes,2,15K-25K,48,1,2,5.33
2,HBW,2,2,VeryLow,10,Home,Skip,1,Daily,WorkRelated,Car,Work,30014360,Urban,Yes,2,15K-25K,48,2,2,1.49
2,HBW,2,2,VeryLow,10,Work,Skip,1,Daily,Home,Car,Home,30014360,Urban,Yes,2,15K-25K,48,2,2,1.49
0,NHB,1,3,Low,-1,GoToGym,Skip,1,Daily,Shopping,Skip,BuyGoods,30014500,Urban,Yes,0,25K-35K,65,1,3,-9.0
0,NHB,1,3,Low,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30014500,Urban,Yes,0,25K-35K,65,1,3,-9.0
0,HBSHOP,1,3,Low,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30014500,Urban,Yes,0,25K-35K,65,1,3,-9.0
0,HBO,1,20,High,-1,Home,Skip,1,Daily,Home,Skip,Home,30017207,Urban,Yes,0,100K-125K,92,1,2,-9.0
0,HBO,1,20,High,-1,Home,Skip,1,Daily,Home,Skip,Home,30017207,Urban,Yes,0,100K-125K,92,1,2,-9.0
1,HBSHOP,2,7,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30017875,Urban,Yes,0,125K-150K,53,1,2,-9.0
1,HBSHOP,2,7,High,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30017875,Urban,Yes,0,125K-150K,53,1,2,-9.0
1,HBW,2,0,High,-8,Home,Skip,1,Daily,WorkRelated,Car,WorkRelated,30017875,Urban,Yes,2,125K-150K,53,2,2,0.39
1,HBW,2,0,High,-8,WorkRelated,Skip,1,Daily,Home,Car,Home,30017875,Urban,Yes,2,125K-150K,53,2,2,0.39
0,HBO,1,4,Low,-1,Home,Skip,1,Daily,SchoolOrReligious,Skip,Religious,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,Religious,Skip,1,Daily,TransportSomeone,Skip,PickUpOrDropSomeone,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,PickUpOrDropSomeone,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,VisitFriends,Skip,1,Daily,TransportSomeone,Skip,PickUpOrDropSomeone,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,PickUpOrDropSomeone,Skip,1,Daily,Shopping,Skip,BuyService,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,BuyService,Skip,1,Daily,Shopping,Skip,BuyGoods,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,Errands,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,HBO,1,4,Low,-1,Errands,Skip,1,Daily,Home,Skip,Home,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,HBSHOP,1,4,Low,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,NHB,1,4,Low,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
0,HBSHOP,1,4,Low,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30018139,Urban,Yes,0,35K-50K,69,1,11,-9.0
1,HBSHOP,5,14,High,8,Home,Skip,1,Daily,Shopping,Car,BuyGoods,30020036,Urban,Yes,0,75K-100K,37,1,4,3.77
1,NHB,5,14,High,8,BuyGoods,Skip,1,Daily,Shopping,Car,BuyGoods,30020036,Urban,Yes,0,75K-100K,37,1,4,3.77
1,NHB,5,14,High,8,BuyGoods,Skip,1,Daily,Shopping,Car,BuyGoods,30020036,Urban,Yes,0,75K-100K,37,1,4,3.77
1,HBSHOP,5,14,High,8,BuyGoods,Skip,1,Daily,Home,Car,Home,30020036,Urban,Yes,0,75K-100K,37,1,4,3.77
1,HBSHOP,5,2,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,Skip,0,75K-100K,9,3,4,-9.0
1,NHB,5,2,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,Skip,0,75K-100K,9,3,4,-9.0
1,NHB,5,2,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,Skip,0,75K-100K,9,3,4,-9.0
1,HBSHOP,5,2,High,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30020036,Urban,Skip,0,75K-100K,9,3,4,-9.0
1,HBSHOP,5,0,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,No,0,75K-100K,67,5,4,-9.0
1,NHB,5,0,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,No,0,75K-100K,67,5,4,-9.0
1,NHB,5,0,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30020036,Urban,No,0,75K-100K,67,5,4,-9.0
1,HBSHOP,5,0,High,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30020036,Urban,No,0,75K-100K,67,5,4,-9.0
2,HBSHOP,2,7,High,45,Home,Skip,1,Daily,Shopping,Car,BuyGoods,30020822,Urban,Yes,0,75K-100K,35,1,5,7.25
2,NHB,2,7,High,45,BuyGoods,Skip,1,Daily,WorkRelated,Car,Work,30020822,Urban,Yes,0,75K-100K,35,1,5,7.25
2,NHB,2,7,High,45,Work,Skip,1,Daily,Meals,Car,BuyMeals,30020822,Urban,Yes,0,75K-100K,35,1,5,7.25
2,NHB,2,7,High,45,BuyMeals,Skip,1,Daily,WorkRelated,Car,Work,30020822,Urban,Yes,0,75K-100K,35,1,5,7.25
2,HBW,2,7,High,45,Work,Skip,1,Daily,Home,Car,Home,30020822,Urban,Yes,0,75K-100K,35,1,5,7.25
2,HBO,2,6,High,-1,Home,Skip,1,Daily,SchoolOrReligious,NotAscertained,GoSchoolAsStudent,30020822,Urban,Yes,0,75K-100K,45,2,5,-9.0
2,NHB,2,6,High,-1,GoSchoolAsStudent,Skip,1,Daily,Shopping,NotAscertained,Errands,30020822,Urban,Yes,0,75K-100K,45,2,5,-9.0
2,NHB,2,6,High,-1,Errands,Skip,1,Daily,Shopping,NotAscertained,BuyGoods,30020822,Urban,Yes,0,75K-100K,45,2,5,-9.0
2,NHB,2,6,High,-1,BuyGoods,Skip,1,Daily,Shopping,NotAscertained,BuyService,30020822,Urban,Yes,0,75K-100K,45,2,5,-9.0
2,HBSHOP,2,6,High,-1,BuyService,Skip,1,Daily,Home,NotAscertained,Home,30020822,Urban,Yes,0,75K-100K,45,2,5,-9.0
2,HBW,2,3,High,90,Home,Skip,1,Daily,WorkRelated,Car,Work,30020915,Urban,Yes,1,morethan200K,56,1,5,68.16
2,HBW,2,3,High,90,Work,Skip,1,Daily,Home,Car,Home,30020915,Urban,Yes,1,morethan200K,56,1,5,68.16
2,HBSOCREC,2,3,High,90,Home,Skip,1,Daily,SocialRecreation,Car,SocialRecreational,30020915,Urban,Yes,1,morethan200K,56,1,5,68.16
2,NHB,2,3,High,90,SocialRecreational,Skip,1,Daily,Meals,Car,BuyMeals,30020915,Urban,Yes,1,morethan200K,56,1,5,68.16
2,HBSHOP,2,3,High,90,BuyMeals,Skip,1,Daily,Home,Car,Home,30020915,Urban,Yes,1,morethan200K,56,1,5,68.16
