HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10061523,2,Urban,Home,Yes,DropSomeoneOff,ServePassenger,morethan100K,HBO,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,DropSomeoneOff,Yes,GoToGym,SocialRecreation,morethan100K,NHB,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,GoToGym,Yes,Home,ReturnHome,morethan100K,HBSOCREC,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,Home,Yes,BuyGoods,Shopping,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,BuyGoods,Yes,Home,ReturnHome,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,Home,Yes,PickUpSomeone,ServePassenger,morethan100K,HBO,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,PickUpSomeone,Yes,Home,ReturnHome,morethan100K,HBO,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,Home,Yes,BuyGoods,Shopping,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,2,Urban,BuyGoods,Yes,Home,ReturnHome,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,9,5,0,-9.0,-1,4,2
10061523,3,Urban,Home,Skip,GoSchoolAsStudent,School,morethan100K,HBO,0,9,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,Urban,GoSchoolAsStudent,Skip,Home,ReturnHome,morethan100K,HBO,0,9,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,Urban,Home,Skip,Library,School,morethan100K,HBO,0,9,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,Urban,Library,Skip,Home,ReturnHome,morethan100K,HBO,0,9,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,4,2
10061523,4,Urban,Home,Skip,GoSchoolAsStudent,School,morethan100K,HBO,0,6,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,4,2
