HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30011070,2,0,2,3,7,0,0,0,70,0,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,2,7,1,1,5,0,0,0,70,0,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,2,5,1,1,1,0,0,0,70,0,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,2,2,3,2,3,0,0,0,70,0,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30014360,1,0,4,8,12,1,2,0,48,0,1,2,2,0,10,0,1,1,0,2,5.33,5.81,-9.0,1,0,2,1,1,2,0,0
30014360,1,12,4,2,3,1,2,0,48,0,1,2,2,0,10,0,1,1,0,2,5.33,5.81,-9.0,1,0,2,1,1,2,0,0
30014360,2,0,4,8,12,1,2,0,48,0,1,2,2,0,10,0,1,1,0,2,1.49,2.13,-9.0,1,0,2,1,1,2,0,0
30014360,2,12,4,2,3,1,2,0,48,0,1,2,2,0,10,0,1,1,0,2,1.49,2.13,-9.0,1,0,2,1,1,2,0,0
30014500,1,4,1,1,2,2,0,0,65,0,0,3,0,0,-1,0,0,0,2,3,-9.0,-9.0,-9.0,4,0,0,0,1,1,0,0
30014500,1,3,1,1,2,2,0,0,65,0,0,3,0,0,-1,0,0,0,2,3,-9.0,-9.0,-9.0,4,0,0,0,1,1,0,0
30014500,1,3,2,2,3,2,0,0,65,0,0,3,0,0,-1,0,0,0,2,3,-9.0,-9.0,-9.0,4,0,0,0,1,1,0,0
30017207,1,0,3,2,3,5,0,0,92,0,0,20,0,0,-1,0,0,0,0,2,-9.0,-9.0,-9.0,0,2,0,0,1,1,0,2
30017207,1,0,3,2,3,5,0,0,92,0,0,20,0,0,-1,0,0,0,0,2,-9.0,-9.0,-9.0,0,2,0,0,1,1,0,2
30017875,1,0,2,1,2,6,1,0,53,0,0,7,0,0,-1,0,0,0,5,2,-9.0,-9.0,-9.0,2,0,0,2,1,2,0,2
30017875,1,3,2,2,3,6,1,0,53,0,0,7,0,0,-1,0,0,0,5,2,-9.0,-9.0,-9.0,2,0,0,2,1,2,0,2
30017875,2,0,4,8,13,6,1,0,53,0,1,0,2,0,-8,0,1,1,2,2,0.39,0.77,-9.0,2,0,0,2,1,2,0,2
30017875,2,13,4,2,3,6,1,0,53,0,1,0,2,0,-8,0,1,1,2,2,0.39,0.77,-9.0,2,0,0,2,1,2,0,2
30018139,1,0,3,6,10,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,10,1,4,8,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,8,1,0,0,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
