HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10061523,2,0,6,0,3,3,11,0,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,0,0,10,4,11,2,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,10,0,3,3,11,2,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,0,0,6,5,11,0,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,6,0,3,3,11,0,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,3,0,0,1,13,8,11,2,0,9,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,0,13,1,3,3,11,2,0,9,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,0,0,1,24,8,11,2,0,9,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,3,0,24,1,3,3,11,2,0,9,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,4,0,0,1,13,8,11,2,0,6,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,4,0,13,1,3,3,11,2,0,6,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,4,0,0,1,24,8,11,2,0,6,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061523,4,0,24,1,3,3,11,2,0,6,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10061895,1,0,0,0,25,12,12,2,1,37,0,4,0,5,19,4,5,0,25.0,30,3,1
10061895,1,0,25,0,3,3,12,2,1,37,0,4,0,5,19,4,5,0,25.0,30,3,1
10061895,1,0,0,0,6,5,12,0,1,37,0,4,0,5,19,4,5,0,25.0,30,3,1
10061895,1,0,6,0,3,3,12,0,1,37,0,4,0,5,19,4,5,0,25.0,30,3,1
10061895,2,0,4,1,4,1,12,1,1,11,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10061895,2,0,4,1,6,5,12,1,1,11,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10061895,2,0,6,1,3,3,12,0,1,11,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10061895,3,0,26,1,3,3,12,2,1,7,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10061895,3,0,0,1,6,5,12,0,1,7,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10061895,3,0,6,1,3,3,12,0,1,7,1,0,0,1,-1,3,-1,-1,-1.0,-1,3,1
10062016,1,0,0,0,13,8,0,2,2,24,0,1,3,0,3,2,21,0,3.0,15,3,0
10062016,1,0,13,0,3,3,0,2,2,24,0,1,3,0,3,2,21,0,3.0,15,3,0
10062016,2,0,0,0,13,8,0,2,2,25,1,1,0,1,-1,5,0,0,-9.0,-1,3,0
10062016,2,0,13,0,3,3,0,2,2,25,1,1,0,1,-1,5,0,0,-9.0,-1,3,0
10062016,2,0,0,0,21,6,0,3,2,25,1,1,0,1,-1,5,0,0,-9.0,-1,3,0
10062016,2,0,21,0,7,6,0,1,2,25,1,1,0,1,-1,5,0,0,-9.0,-1,3,0
10062016,2,0,7,0,3,3,0,3,2,25,1,1,0,1,-1,5,0,0,-9.0,-1,3,0
10062016,3,0,0,0,10,4,0,2,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,10,0,12,4,0,1,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,12,0,3,3,0,2,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,0,0,24,8,0,2,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,24,0,3,3,0,2,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,0,0,24,8,0,2,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10062016,3,0,24,0,21,6,0,1,2,23,0,1,3,0,3,7,1,1,4.0,10,3,0
10068652,1,0,0,0,12,4,4,2,3,47,0,1,0,3,21,3,0,0,30.0,60,4,2
10068652,1,0,12,0,2,2,4,1,3,47,0,1,0,3,21,3,0,0,30.0,60,4,2
10068652,1,0,3,0,3,3,4,4,3,47,0,1,0,3,21,3,0,0,30.0,60,4,2
10068652,2,0,0,0,2,2,4,4,3,40,0,0,0,0,11,2,0,0,-9.0,45,4,2
10068652,2,0,3,0,3,3,4,4,3,40,0,0,0,0,11,2,0,0,-9.0,45,4,2
10068652,3,0,0,0,16,10,4,2,3,25,0,3,0,0,6,4,5,0,-9.0,15,4,2
10068652,3,0,16,0,16,10,4,1,3,25,0,3,0,0,6,4,5,0,-9.0,15,4,2
10068652,3,0,16,0,16,10,4,1,3,25,0,3,0,0,6,4,5,0,-9.0,15,4,2
10068652,3,0,16,0,3,3,4,2,3,25,0,3,0,0,6,4,5,0,-9.0,15,4,2
10068652,4,0,0,2,13,8,4,2,3,15,1,0,0,1,-1,2,-1,-1,-1.0,-1,4,2
10068652,4,0,13,2,3,3,4,2,3,15,1,0,0,1,-1,2,-1,-1,-1.0,-1,4,2
10076143,1,1,0,0,2,2,13,4,1,62,0,0,0,0,1,4,2,0,2.0,10,2,1
10076143,1,1,3,0,26,10,13,1,1,62,0,0,0,0,1,4,2,0,2.0,10,2,1
10076143,1,1,27,0,17,11,13,1,1,62,0,0,0,0,1,4,2,0,2.0,10,2,1
10076143,1,1,17,0,3,3,13,4,1,62,0,0,0,0,1,4,2,0,2.0,10,2,1
10076143,2,1,0,0,6,5,13,0,1,67,1,0,0,1,-1,2,0,0,-9.0,-1,2,1
10076143,2,1,6,0,3,3,13,0,1,67,1,0,0,1,-1,2,0,0,-9.0,-1,2,1
10077542,1,0,0,0,15,5,0,0,0,58,1,0,0,1,-1,2,0,1,-9.0,-1,1,0
10077542,1,0,15,0,3,3,0,0,0,58,1,0,0,1,-1,2,0,1,-9.0,-1,1,0
10081521,1,1,0,0,25,12,11,2,3,50,0,1,0,0,14,5,7,0,12.0,15,3,2
10081521,1,1,25,0,3,3,11,2,3,50,0,1,0,0,14,5,7,0,12.0,15,3,2
10081521,1,1,0,0,22,6,11,3,3,50,0,1,0,0,14,5,7,0,12.0,15,3,2
