HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10022047,2,2,41,1,41,6,14,5,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,41,1,42,7,14,5,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,42,1,1,12,14,2,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,1,1,41,6,14,2,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,41,1,71,10,14,5,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,71,1,1,12,14,4,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10031197,1,1,1,1,53,8,11,3,0,56,-1,-1,-1,-1,-1,2,1,0,-9,-1,1
10031197,1,1,53,1,1,12,11,3,0,56,-1,-1,-1,-1,-1,2,1,0,-9,-1,1
10035289,1,1,1,1,41,6,17,2,1,52,-1,1,-1,-1,-1,4,5,0,-9,-1,2
10035289,1,1,41,1,1,12,17,2,1,52,-1,1,-1,-1,-1,4,5,0,-9,-1,2
10035289,1,1,1,1,51,8,17,3,1,52,-1,1,-1,-1,-1,4,5,0,-9,-1,2
10035289,1,1,51,1,1,12,17,3,1,52,-1,1,-1,-1,-1,4,5,0,-9,-1,2
10035289,2,1,1,1,11,1,17,1,1,54,1,1,4,3,18,4,0,0,23,50,2
10035289,2,1,11,1,14,2,17,5,1,54,1,1,4,3,18,4,0,0,23,50,2
10035289,2,1,14,1,41,6,17,5,1,54,1,1,4,3,18,4,0,0,23,50,2
10035289,2,1,41,1,1,12,17,2,1,54,1,1,4,3,18,4,0,0,23,50,2
10036875,1,1,1,1,73,10,-9,4,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,73,1,11,1,-9,5,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,11,1,1,12,-9,1,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,1,1,53,8,-9,3,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,53,1,43,6,-9,5,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,43,1,53,8,-9,5,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,53,1,71,10,-9,5,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,1,1,71,1,1,12,-9,4,1,22,-1,-9,-1,-9,-1,8,-9,-9,-9,-9,3
10036875,2,1,1,-1,21,3,-9,4,1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3
10036875,2,1,21,-1,1,12,-9,4,1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3
10036875,3,1,1,1,73,10,-9,4,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,73,1,1,12,-9,4,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,1,1,11,1,-9,1,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,11,1,1,12,-9,1,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,1,1,53,8,-9,3,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,53,1,43,6,-9,5,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,43,1,53,8,-9,5,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,53,1,71,10,-9,5,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
10036875,3,1,71,1,1,12,-9,4,1,-8,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,3
