HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE17,HHSIZE
30010005,1,1,HBSHOP,40,12,2,0,1,65,2,-1,0,0,0,-1,-1,-1,-1,1,2,-9,-9,-9,5,5,5,5,5,1
30010005,1,12,HBSHOP,1,1,2,0,1,65,2,-1,0,0,0,-1,-1,-1,-1,1,2,-9,-9,-9,5,5,5,5,5,1
30011070,1,1,HBSHOP,80,13,5,0,1,71,1,-1,0,0,0,-1,-1,-1,-1,5,4,-9,-9,-9,5,2,5,5,1,2
30011070,1,13,NHB,40,12,5,0,1,71,1,-1,0,0,0,-1,-1,-1,-1,5,4,-9,-9,-9,5,2,5,5,1,2
30011070,1,12,NHB,40,14,5,0,1,71,1,-1,0,0,0,-1,-1,-1,-1,5,4,-9,-9,-9,5,2,5,5,1,2
30011070,1,14,HBO,1,1,5,0,1,71,1,-1,0,0,0,-1,-1,-1,-1,5,4,-9,-9,-9,5,2,5,5,1,2
30011070,2,1,HBSHOP,80,13,5,0,1,70,1,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,2,5,5,1,2
30011070,2,13,NHB,40,12,5,0,1,70,1,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,2,5,5,1,2
30011070,2,12,NHB,40,14,5,0,1,70,1,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,2,5,5,1,2
30011070,2,14,HBO,1,1,5,0,1,70,1,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,2,5,5,1,2
30014360,1,1,HBW,10,3,3,2,1,48,1,3,2,2,0,10,-1,-1,-1,0,2,5.33,5.81,-9,2,1,-9,-9,1,2
30014360,1,3,HBW,1,1,3,2,1,48,1,3,2,2,0,10,-1,-1,-1,0,2,5.33,5.81,-9,2,1,-9,-9,1,2
30014360,2,1,HBW,10,3,3,2,1,48,1,3,2,2,0,10,-1,-1,-1,0,2,1.49,2.13,-9,2,1,-9,-9,1,2
30014360,2,3,HBW,1,1,3,2,1,48,1,3,2,2,0,10,-1,-1,-1,0,2,1.49,2.13,-9,2,1,-9,-9,1,2
30014500,1,16,NHB,40,11,4,0,1,65,1,-1,3,0,0,-1,-1,-1,-1,2,3,-9,-9,-9,3,1,5,5,1,1
30014500,1,11,NHB,40,11,4,0,1,65,1,-1,3,0,0,-1,-1,-1,-1,2,3,-9,-9,-9,3,1,5,5,1,1
30014500,1,11,HBSHOP,1,1,4,0,1,65,1,-1,3,0,0,-1,-1,-1,-1,2,3,-9,-9,-9,3,1,5,5,1,1
30017207,1,1,HBO,1,1,8,0,1,92,1,-1,20,0,0,-1,-1,-1,-1,0,2,-9,-9,-9,5,2,5,5,1,1
30017207,1,1,HBO,1,1,8,0,1,92,1,-1,20,0,0,-1,-1,-1,-1,0,2,-9,-9,-9,5,2,5,5,1,1
30017875,1,1,HBSHOP,40,11,9,1,1,53,1,-1,7,0,0,-1,-1,-1,-1,5,2,-9,-9,-9,4,1,5,4,1,2
30017875,1,11,HBSHOP,1,1,9,1,1,53,1,-1,7,0,0,-1,-1,-1,-1,5,2,-9,-9,-9,4,1,5,4,1,2
30017875,2,1,HBW,10,4,9,1,1,53,1,3,0,2,0,-8,-1,-1,-1,2,2,0.39,0.77,-9,4,1,5,4,1,2
30017875,2,4,HBW,1,1,9,1,1,53,1,3,0,2,0,-8,-1,-1,-1,2,2,0.39,0.77,-9,4,1,5,4,1,2
30018139,1,1,HBO,20,19,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,19,NHB,70,6,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
