R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
63,0,-1,0,0,1,4,10022047,-1,2,12,0,2,1,9,1,5,3,2,0,2
63,0,-1,0,0,1,1,10022047,-1,2,1,12,2,1,9,1,5,3,1,0,2
63,0,-1,0,0,1,5,10022047,-1,2,6,2,2,1,9,1,5,3,1,0,2
63,0,-1,0,0,1,5,10022047,-1,2,6,6,2,1,9,1,5,3,1,0,2
63,0,-1,0,0,1,1,10022047,-1,2,1,6,2,1,9,1,5,3,1,0,2
63,0,-1,0,0,1,3,10022047,-1,2,3,2,2,1,9,1,5,3,0,0,2
63,0,-1,0,0,1,5,10022047,-1,2,6,0,2,1,9,1,5,3,0,0,2
63,0,-1,0,0,1,4,10022047,-1,2,10,6,2,1,9,1,5,3,1,0,2
63,0,-1,0,0,1,3,10022047,-1,2,3,10,2,1,9,1,5,3,2,0,2
56,0,-1,0,1,0,6,10031197,-1,1,21,0,1,1,2,0,6,0,3,0,2
56,0,-1,0,1,0,3,10031197,-1,1,3,21,1,1,2,0,6,0,3,0,2
52,0,-1,0,5,0,5,10035289,-1,1,6,0,2,1,4,1,4,1,0,0,2
52,0,-1,0,5,0,3,10035289,-1,1,3,6,2,1,4,1,4,1,0,0,2
52,0,-1,0,5,0,6,10035289,-1,1,22,0,2,1,4,1,4,1,3,0,2
52,0,-1,0,5,0,3,10035289,-1,1,3,22,2,1,4,1,4,1,3,0,2
54,0,50,0,0,0,2,10035289,18,2,2,0,2,3,4,1,4,1,4,2,2
54,0,50,0,0,0,10,10035289,18,2,16,3,2,3,4,1,4,1,1,2,2
54,0,50,0,0,0,5,10035289,18,2,6,16,2,3,4,1,4,1,1,2,2
54,0,50,0,0,0,3,10035289,18,2,3,6,2,3,4,1,4,1,0,2,2
31,0,5,0,2,0,2,10040322,5,1,2,0,3,0,4,2,6,3,4,0,2
31,0,5,0,2,0,3,10040322,5,1,3,3,3,0,4,2,6,3,4,0,2
31,0,5,0,2,0,11,10040322,5,1,17,0,3,0,4,2,6,3,4,0,2
31,0,5,0,2,0,3,10040322,5,1,3,17,3,0,4,2,6,3,4,0,2
31,0,15,0,3,0,6,10040322,2,2,21,0,3,0,2,2,6,1,3,0,2
31,0,15,0,3,0,3,10040322,2,2,3,21,3,0,2,2,6,1,3,0,2
-8,2,-1,-1,-1,0,6,10040322,-1,3,21,0,3,1,2,2,6,0,3,0,2
-8,2,-1,-1,-1,0,3,10040322,-1,3,3,21,3,1,2,2,6,0,3,0,2
46,0,-1,0,1,0,4,10045224,-1,1,10,0,2,1,2,2,7,0,2,0,0
46,0,-1,0,1,0,3,10045224,-1,1,3,10,2,1,2,2,7,0,2,0,0
50,0,20,0,5,0,2,10045224,5,2,2,0,2,0,4,2,7,0,4,0,0
50,0,20,0,5,0,3,10045224,5,2,3,3,2,0,4,2,7,0,4,0,0
50,0,20,0,5,0,6,10045224,5,2,21,0,2,0,4,2,7,0,3,0,0
