R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE.1,TRIPPURP,WKFMHMXX,HHFAMINC2
65,2,-1,0,0,0,1,30010005,-9.0,1,5,0,1,0,2,0,4,5,1,2,0,0
65,2,-1,0,0,0,2,30010005,-9.0,1,3,5,1,0,2,0,4,5,1,2,0,0
71,0,-1,0,0,0,3,30011070,-9.0,1,7,0,2,0,4,0,0,1,0,2,0,0
71,0,-1,0,0,0,1,30011070,-9.0,1,5,7,2,0,4,0,0,1,0,1,0,0
71,0,-1,0,0,0,1,30011070,-9.0,1,1,5,2,0,4,0,0,1,0,1,0,0
71,0,-1,0,0,0,2,30011070,-9.0,1,3,2,2,0,4,0,0,1,0,3,0,0
70,0,-1,0,0,0,3,30011070,-9.0,2,7,0,2,0,4,0,0,1,0,2,0,0
70,0,-1,0,0,0,1,30011070,-9.0,2,5,7,2,0,4,0,0,1,0,1,0,0
70,0,-1,0,0,0,1,30011070,-9.0,2,1,5,2,0,4,0,0,1,0,1,0,0
70,0,-1,0,0,0,2,30011070,-9.0,2,3,2,2,0,4,0,0,1,0,3,0,0
48,0,10,2,2,0,8,30014360,5.33,1,12,0,2,1,2,2,1,1,0,4,0,0
48,0,10,2,2,0,2,30014360,5.33,1,3,12,2,1,2,2,1,1,0,4,0,0
48,0,10,2,2,0,8,30014360,1.49,2,12,0,2,1,2,2,1,1,0,4,0,0
48,0,10,2,2,0,2,30014360,1.49,2,3,12,2,1,2,2,1,1,0,4,0,0
65,0,-1,0,3,0,1,30014500,-9.0,1,2,4,1,0,3,0,2,1,0,1,0,0
65,0,-1,0,3,0,1,30014500,-9.0,1,2,3,1,0,3,0,2,1,0,1,0,0
65,0,-1,0,3,0,2,30014500,-9.0,1,3,3,1,0,3,0,2,1,0,2,0,0
92,0,-1,0,20,0,2,30017207,-9.0,1,3,0,1,0,2,0,5,1,0,3,0,2
92,0,-1,0,20,0,2,30017207,-9.0,1,3,0,1,0,2,0,5,1,0,3,0,2
53,0,-1,0,7,0,1,30017875,-9.0,1,2,0,2,0,2,1,6,1,0,2,0,2
53,0,-1,0,7,0,2,30017875,-9.0,1,3,3,2,0,2,1,6,1,0,2,0,2
53,0,-8,2,0,0,8,30017875,0.39,2,13,0,2,1,2,1,6,1,0,4,0,2
53,0,-8,2,0,0,2,30017875,0.39,2,3,13,2,1,2,1,6,1,0,4,0,2
69,0,-1,0,4,0,6,30018139,-9.0,1,10,0,1,0,11,0,0,1,0,3,0,0
69,0,-1,0,4,0,4,30018139,-9.0,1,8,10,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,0,30018139,-9.0,1,0,8,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,4,30018139,-9.0,1,8,1,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,1,30018139,-9.0,1,5,8,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,1,30018139,-9.0,1,2,5,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,1,30018139,-9.0,1,1,3,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,2,30018139,-9.0,1,3,2,1,0,11,0,0,1,0,3,0,0
69,0,-1,0,4,0,1,30018139,-9.0,1,2,0,1,0,11,0,0,1,0,2,0,0
69,0,-1,0,4,0,1,30018139,-9.0,1,2,3,1,0,11,0,0,1,0,1,0,0
69,0,-1,0,4,0,2,30018139,-9.0,1,3,3,1,0,11,0,0,1,0,2,0,0
37,0,8,0,14,0,1,30020036,3.77,1,2,0,5,1,4,1,3,1,0,2,0,2
37,0,8,0,14,0,1,30020036,3.77,1,2,3,5,1,4,1,3,1,0,1,0,2
37,0,8,0,14,0,1,30020036,3.77,1,2,3,5,1,4,1,3,1,0,1,0,2
37,0,8,0,14,0,2,30020036,3.77,1,3,3,5,1,4,1,3,1,0,2,0,2
9,1,-1,0,2,0,1,30020036,-9.0,3,2,0,5,0,4,1,3,1,0,2,0,2
9,1,-1,0,2,0,1,30020036,-9.0,3,2,3,5,0,4,1,3,1,0,1,0,2
9,1,-1,0,2,0,1,30020036,-9.0,3,2,3,5,0,4,1,3,1,0,1,0,2
9,1,-1,0,2,0,2,30020036,-9.0,3,3,3,5,0,4,1,3,1,0,2,0,2
67,2,-1,0,0,0,1,30020036,-9.0,5,2,0,5,0,4,1,3,1,0,2,0,2
67,2,-1,0,0,0,1,30020036,-9.0,5,2,3,5,0,4,1,3,1,0,1,0,2
67,2,-1,0,0,0,1,30020036,-9.0,5,2,3,5,0,4,1,3,1,0,1,0,2
67,2,-1,0,0,0,2,30020036,-9.0,5,3,3,5,0,4,1,3,1,0,2,0,2
35,0,45,0,7,0,1,30020822,7.25,1,2,0,2,1,5,2,3,1,0,2,0,2
35,0,45,0,7,0,8,30020822,7.25,1,12,3,2,1,5,2,3,1,0,1,0,2
35,0,45,0,7,0,3,30020822,7.25,1,7,12,2,1,5,2,3,1,0,1,0,2
35,0,45,0,7,0,8,30020822,7.25,1,12,7,2,1,5,2,3,1,0,1,0,2
35,0,45,0,7,0,2,30020822,7.25,1,3,12,2,1,5,2,3,1,0,4,0,2
45,0,-1,0,6,0,6,30020822,-9.0,2,14,0,2,3,5,2,3,1,0,3,0,2
45,0,-1,0,6,0,1,30020822,-9.0,2,1,14,2,3,5,2,3,1,0,1,0,2
45,0,-1,0,6,0,1,30020822,-9.0,2,2,2,2,3,5,2,3,1,0,1,0,2
45,0,-1,0,6,0,1,30020822,-9.0,2,5,3,2,3,5,2,3,1,0,1,0,2
45,0,-1,0,6,0,2,30020822,-9.0,2,3,5,2,3,5,2,3,1,0,2,0,2
56,0,90,1,3,0,8,30020915,68.16,1,12,0,2,1,5,2,7,1,0,4,0,2
56,0,90,1,3,0,2,30020915,68.16,1,3,12,2,1,5,2,7,1,0,4,0,2
