R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX
-8,No,-1,-1,-1,Urban,SocialRecreation,10040322,-1,3,VisitFriends,2,Home,3,Skip,2,2,50K-55K,Skip,HBSOCREC,Skip
-8,No,-1,-1,-1,Urban,ReturnHome,10040322,-1,3,Home,2,VisitFriends,3,Skip,2,2,50K-55K,Skip,HBSOCREC,Skip
46,Yes,-1,0,1,Urban,ServePassenger,10045224,-1,1,PickUpSomeone,0,Home,2,Skip,2,2,20K-25K,Skip,HBO,Skip
46,Yes,-1,0,1,Urban,ReturnHome,10045224,-1,1,Home,0,PickUpSomeone,2,Skip,2,2,20K-25K,Skip,HBO,Skip
50,Yes,20,0,5,Urban,ToWork,10045224,5,2,GoToWork,0,Home,2,Car,4,2,20K-25K,Skip,HBW,Skip
50,Yes,20,0,5,Urban,ReturnHome,10045224,5,2,Home,0,GoToWork,2,Car,4,2,20K-25K,Skip,HBW,Skip
50,Yes,20,0,5,Urban,SocialRecreation,10045224,5,2,VisitFriends,0,Home,2,Car,4,2,20K-25K,Skip,HBSOCREC,Skip
50,Yes,20,0,5,Urban,ReturnHome,10045224,5,2,Home,0,VisitFriends,2,Car,4,2,20K-25K,Skip,HBSOCREC,Skip
53,No,8,0,4,Urban,ToWork,10048672,7,1,GoToWork,0,Home,2,Walk,2,1,5K-10K,Skip,HBW,Skip
53,No,8,0,4,Urban,ReturnHome,10048672,7,1,Home,0,GoToWork,2,Walk,2,1,5K-10K,Skip,HBW,Skip
43,Yes,20,0,2,Urban,ToWork,10050648,8,1,GoToWork,2,Home,1,Car,3,1,45K-50K,SeveralWeek,HBW,Skip
43,Yes,20,0,2,Urban,WorkRelated,10050648,8,1,OtherWorkRelated,2,GoToWork,1,Car,3,1,45K-50K,SeveralWeek,NHB,Skip
43,Yes,20,0,2,Urban,WorkRelated,10050648,8,1,OtherWorkRelated,2,OtherWorkRelated,1,Car,3,1,45K-50K,SeveralWeek,NHB,Skip
50,Yes,-1,0,3,Urban,ToWork,10052660,0,1,GoToWork,0,Home,1,Skip,6,1,25K-30K,AlmostEveryday,HBW,Skip
50,Yes,-1,0,3,Urban,WorkRelated,10052660,0,1,OtherWorkRelated,0,GoToWork,1,Skip,6,1,25K-30K,AlmostEveryday,NHB,Skip
50,Yes,-1,0,3,Urban,EatMeal,10052660,0,1,GetMeal,0,OtherWorkRelated,1,Skip,6,1,25K-30K,AlmostEveryday,NHB,Skip
50,Yes,-1,0,3,Urban,ReturnWork,10052660,0,1,ReturnToWork,0,GetMeal,1,Skip,6,1,25K-30K,AlmostEveryday,NHB,Skip
50,Yes,-1,0,3,Urban,Family,10052660,0,1,PTA,0,ReturnToWork,1,Skip,6,1,25K-30K,AlmostEveryday,NHB,Skip
50,Yes,-1,0,3,Urban,ReturnHome,10052660,0,1,Home,0,PTA,1,Skip,6,1,25K-30K,AlmostEveryday,HBO,Skip
71,Yes,-1,0,-8,Urban,Family,10060197,-1,2,GroomingHaircutNails,0,Home,2,Skip,5,0,20K-25K,Skip,HBO,Skip
71,Yes,-1,0,-8,Urban,Shopping,10060197,-1,2,BuyGoods,0,GroomingHaircutNails,2,Skip,5,0,20K-25K,Skip,NHB,Skip
71,Yes,-1,0,-8,Urban,Family,10060197,-1,2,BuyService,0,BuyGoods,2,Skip,5,0,20K-25K,Skip,NHB,Skip
71,Yes,-1,0,-8,Urban,SocialRecreation,10060197,-1,2,VisitFriends,0,BuyService,2,Skip,5,0,20K-25K,Skip,NHB,Skip
71,Yes,-1,0,-8,Urban,ReturnHome,10060197,-1,2,Home,0,VisitFriends,2,Skip,5,0,20K-25K,Skip,HBSOCREC,Skip
40,Yes,-1,0,3,Urban,Family,10061523,-1,1,BuyService,2,Home,4,Skip,3,0,morethan100K,AlmostEveryday,HBSHOP,Skip
40,Yes,-1,0,3,Urban,Shopping,10061523,-1,1,BuyGoods,2,BuyService,4,Skip,3,0,morethan100K,AlmostEveryday,NHB,Skip
40,Yes,-1,0,3,Urban,ReturnHome,10061523,-1,1,Home,2,BuyGoods,4,Skip,3,0,morethan100K,AlmostEveryday,HBSHOP,Skip
40,Yes,-1,0,5,Urban,ServePassenger,10061523,-1,2,DropSomeoneOff,2,Home,4,Skip,9,0,morethan100K,AlmostEveryday,HBO,Skip
40,Yes,-1,0,5,Urban,SocialRecreation,10061523,-1,2,GoToGym,2,DropSomeoneOff,4,Skip,9,0,morethan100K,AlmostEveryday,NHB,Skip
40,Yes,-1,0,5,Urban,ReturnHome,10061523,-1,2,Home,2,GoToGym,4,Skip,9,0,morethan100K,AlmostEveryday,HBSOCREC,Skip
40,Yes,-1,0,5,Urban,Shopping,10061523,-1,2,BuyGoods,2,Home,4,Skip,9,0,morethan100K,AlmostEveryday,HBSHOP,Skip
40,Yes,-1,0,5,Urban,ReturnHome,10061523,-1,2,Home,2,BuyGoods,4,Skip,9,0,morethan100K,AlmostEveryday,HBSHOP,Skip
40,Yes,-1,0,5,Urban,ServePassenger,10061523,-1,2,PickUpSomeone,2,Home,4,Skip,9,0,morethan100K,AlmostEveryday,HBO,Skip
