URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,7.25,NHB,0,1,2,5,35,75K-100K,Yes,BuyGoods,45,WorkRelated,High,Work,1,Daily,7,2,30020822,Car
Urban,Skip,7.25,NHB,0,1,2,5,35,75K-100K,Yes,Work,45,Meals,High,BuyMeals,1,Daily,7,2,30020822,Car
Urban,Skip,7.25,NHB,0,1,2,5,35,75K-100K,Yes,BuyMeals,45,WorkRelated,High,Work,1,Daily,7,2,30020822,Car
Urban,Skip,7.25,HBW,0,1,2,5,35,75K-100K,Yes,Work,45,Home,High,Home,1,Daily,7,2,30020822,Car
Urban,Skip,-9.0,HBO,0,2,2,5,45,75K-100K,Yes,Home,-1,SchoolOrReligious,High,GoSchoolAsStudent,1,Daily,6,2,30020822,NotAscertained
Urban,Skip,-9.0,NHB,0,2,2,5,45,75K-100K,Yes,GoSchoolAsStudent,-1,Shopping,High,Errands,1,Daily,6,2,30020822,NotAscertained
Urban,Skip,-9.0,NHB,0,2,2,5,45,75K-100K,Yes,Errands,-1,Shopping,High,BuyGoods,1,Daily,6,2,30020822,NotAscertained
Urban,Skip,-9.0,NHB,0,2,2,5,45,75K-100K,Yes,BuyGoods,-1,Shopping,High,BuyService,1,Daily,6,2,30020822,NotAscertained
Urban,Skip,-9.0,HBSHOP,0,2,2,5,45,75K-100K,Yes,BuyService,-1,Home,High,Home,1,Daily,6,2,30020822,NotAscertained
Urban,Skip,68.16,HBW,1,1,2,5,56,morethan200K,Yes,Home,90,WorkRelated,High,Work,1,Daily,3,2,30020915,Car
Urban,Skip,68.16,HBW,1,1,2,5,56,morethan200K,Yes,Work,90,Home,High,Home,1,Daily,3,2,30020915,Car
Urban,Skip,68.16,HBSOCREC,1,1,2,5,56,morethan200K,Yes,Home,90,SocialRecreation,High,SocialRecreational,1,Daily,3,2,30020915,Car
Urban,Skip,68.16,NHB,1,1,2,5,56,morethan200K,Yes,SocialRecreational,90,Meals,High,BuyMeals,1,Daily,3,2,30020915,Car
Urban,Skip,68.16,HBSHOP,1,1,2,5,56,morethan200K,Yes,BuyMeals,90,Home,High,Home,1,Daily,3,2,30020915,Car
Urban,Skip,-9.0,HBSHOP,1,2,2,7,57,morethan200K,Yes,Home,-1,Meals,High,BuyMeals,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,HBSHOP,1,2,2,7,57,morethan200K,Yes,BuyMeals,-1,Home,High,WFH,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,HBW,1,2,2,7,57,morethan200K,Yes,WFH,-1,WorkRelated,High,WorkRelated,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,HBW,1,2,2,7,57,morethan200K,Yes,WorkRelated,-1,Home,High,Home,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,HBSOCREC,1,2,2,7,57,morethan200K,Yes,Home,-1,SocialRecreation,High,SocialRecreational,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,NHB,1,2,2,7,57,morethan200K,Yes,SocialRecreational,-1,Meals,High,BuyMeals,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,-9.0,HBSHOP,1,2,2,7,57,morethan200K,Yes,BuyMeals,-1,Home,High,Home,1,Daily,3,2,30020915,NotAscertained
Urban,Skip,13.87,HBO,0,1,1,7,60,150K-200K,Yes,Home,60,TransportSomeone,High,PickUpOrDropSomeone,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,NHB,0,1,1,7,60,150K-200K,Yes,PickUpOrDropSomeone,60,WorkRelated,High,Work,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,NHB,0,1,1,7,60,150K-200K,Yes,Work,60,Meals,High,BuyMeals,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,NHB,0,1,1,7,60,150K-200K,Yes,BuyMeals,60,WorkRelated,High,Work,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,NHB,0,1,1,7,60,150K-200K,Yes,Work,60,TransportSomeone,High,PickUpOrDropSomeone,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,NHB,0,1,1,7,60,150K-200K,Yes,PickUpOrDropSomeone,60,Meals,High,BuyMeals,1,Daily,4,1,30021637,Car
Urban,Skip,13.87,HBSHOP,0,1,1,7,60,150K-200K,Yes,BuyMeals,60,Home,High,Home,1,Daily,4,1,30021637,Car
