TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
-1,-9.0,1,1,0,0,0,0,2,1,5,0,71,4,0,0,0,1,0,30011070,1,0
-1,-9.0,3,3,0,0,0,0,2,2,2,0,71,4,0,0,0,1,0,30011070,1,0
-1,-9.0,2,7,0,0,0,0,2,3,0,0,70,4,0,0,0,1,0,30011070,2,0
-1,-9.0,1,5,0,0,0,0,2,1,7,0,70,4,0,0,0,1,0,30011070,2,0
-1,-9.0,1,1,0,0,0,0,2,1,5,0,70,4,0,0,0,1,0,30011070,2,0
-1,-9.0,3,3,0,0,0,0,2,2,2,0,70,4,0,0,0,1,0,30011070,2,0
10,5.33,4,12,0,0,1,2,2,8,0,2,48,2,2,0,1,1,0,30014360,1,0
10,5.33,4,3,0,0,1,2,2,2,12,2,48,2,2,0,1,1,0,30014360,1,0
10,1.49,4,12,0,0,1,2,2,8,0,2,48,2,2,0,1,1,0,30014360,2,0
10,1.49,4,3,0,0,1,2,2,2,12,2,48,2,2,0,1,1,0,30014360,2,0
-1,-9.0,1,2,0,0,0,3,1,1,4,0,65,3,0,0,2,1,0,30014500,1,0
-1,-9.0,1,2,0,0,0,3,1,1,3,0,65,3,0,0,2,1,0,30014500,1,0
-1,-9.0,2,3,0,0,0,3,1,2,3,0,65,3,0,0,2,1,0,30014500,1,0
-1,-9.0,3,3,0,0,0,20,1,2,0,0,92,2,0,0,5,1,0,30017207,1,2
-1,-9.0,3,3,0,0,0,20,1,2,0,0,92,2,0,0,5,1,0,30017207,1,2
-1,-9.0,2,2,0,0,0,7,2,1,0,0,53,2,1,0,6,1,0,30017875,1,2
-1,-9.0,2,3,0,0,0,7,2,2,3,0,53,2,1,0,6,1,0,30017875,1,2
-8,0.39,4,13,0,0,1,0,2,8,0,2,53,2,1,0,6,1,0,30017875,2,2
-8,0.39,4,3,0,0,1,0,2,2,13,2,53,2,1,0,6,1,0,30017875,2,2
-1,-9.0,3,10,0,0,0,4,1,6,0,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,8,0,0,0,4,1,4,10,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,0,0,0,0,4,1,0,8,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,8,0,0,0,4,1,4,1,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,5,0,0,0,4,1,1,8,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,2,0,0,0,4,1,1,5,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,1,0,0,0,4,1,1,3,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,3,3,0,0,0,4,1,2,2,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,2,2,0,0,0,4,1,1,0,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,1,2,0,0,0,4,1,1,3,0,69,11,0,0,0,1,0,30018139,1,0
-1,-9.0,2,3,0,0,0,4,1,2,3,0,69,11,0,0,0,1,0,30018139,1,0
8,3.77,2,2,0,0,1,14,5,1,0,0,37,4,1,0,3,1,0,30020036,1,2
8,3.77,1,2,0,0,1,14,5,1,3,0,37,4,1,0,3,1,0,30020036,1,2
8,3.77,1,2,0,0,1,14,5,1,3,0,37,4,1,0,3,1,0,30020036,1,2
8,3.77,2,3,0,0,1,14,5,2,3,0,37,4,1,0,3,1,0,30020036,1,2
-1,-9.0,2,2,0,1,0,2,5,1,0,0,9,4,1,0,3,1,0,30020036,3,2
-1,-9.0,1,2,0,1,0,2,5,1,3,0,9,4,1,0,3,1,0,30020036,3,2
-1,-9.0,1,2,0,1,0,2,5,1,3,0,9,4,1,0,3,1,0,30020036,3,2
-1,-9.0,2,3,0,1,0,2,5,2,3,0,9,4,1,0,3,1,0,30020036,3,2
-1,-9.0,2,2,0,2,0,0,5,1,0,0,67,4,1,0,3,1,0,30020036,5,2
-1,-9.0,1,2,0,2,0,0,5,1,3,0,67,4,1,0,3,1,0,30020036,5,2
-1,-9.0,1,2,0,2,0,0,5,1,3,0,67,4,1,0,3,1,0,30020036,5,2
-1,-9.0,2,3,0,2,0,0,5,2,3,0,67,4,1,0,3,1,0,30020036,5,2
45,7.25,2,2,0,0,1,7,2,1,0,0,35,5,2,0,3,1,0,30020822,1,2
45,7.25,1,12,0,0,1,7,2,8,3,0,35,5,2,0,3,1,0,30020822,1,2
45,7.25,1,7,0,0,1,7,2,3,12,0,35,5,2,0,3,1,0,30020822,1,2
45,7.25,1,12,0,0,1,7,2,8,7,0,35,5,2,0,3,1,0,30020822,1,2
45,7.25,4,3,0,0,1,7,2,2,12,0,35,5,2,0,3,1,0,30020822,1,2
-1,-9.0,3,14,0,0,3,6,2,6,0,0,45,5,2,0,3,1,0,30020822,2,2
-1,-9.0,1,1,0,0,3,6,2,1,14,0,45,5,2,0,3,1,0,30020822,2,2
-1,-9.0,1,2,0,0,3,6,2,1,2,0,45,5,2,0,3,1,0,30020822,2,2
-1,-9.0,1,5,0,0,3,6,2,1,3,0,45,5,2,0,3,1,0,30020822,2,2
-1,-9.0,2,3,0,0,3,6,2,2,5,0,45,5,2,0,3,1,0,30020822,2,2
90,68.16,4,12,0,0,1,3,2,8,0,1,56,5,2,0,7,1,0,30020915,1,2
90,68.16,4,3,0,0,1,3,2,2,12,1,56,5,2,0,7,1,0,30020915,1,2
90,68.16,0,6,0,0,1,3,2,0,0,1,56,5,2,0,7,1,0,30020915,1,2
90,68.16,1,7,0,0,1,3,2,3,6,1,56,5,2,0,7,1,0,30020915,1,2
90,68.16,2,3,0,0,1,3,2,2,7,1,56,5,2,0,7,1,0,30020915,1,2
-1,-9.0,2,7,0,0,3,3,2,3,0,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,2,15,0,0,3,3,2,2,7,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,4,13,0,0,3,3,2,8,15,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,4,3,0,0,3,3,2,2,13,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,0,6,0,0,3,3,2,0,0,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,1,7,0,0,3,3,2,3,6,1,57,7,2,0,7,1,0,30020915,2,2
-1,-9.0,2,3,0,0,3,3,2,2,7,1,57,7,2,0,7,1,0,30020915,2,2
